시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세금(만원),층,건축년도,시도,구,법정동,산여부,법정동코드,PNU
부산광역시 수영구 광안동,131-24,0131,0024,한다더포레스트,전세,16.44,202603,"9,600",0,3,2021,부산광역시,수영구,광안동,0,2650010400,2650010400001310024
부산광역시 수영구 광안동,105-21,0105,0021,케이스카이월드,월세,22.84,202603,"2,800",48,2,2021,부산광역시,수영구,광안동,0,2650010400,2650010400001050021
부산광역시 기장군 기장읍 교리,351-17,0351,0017,더하우스기장점,월세,22.78,202603,300,31,4,2004,부산광역시,기장군,기장읍,0,2671025000,2671025000003510017
부산광역시 기장군 기장읍 청강리,80-7,0080,0007,가우디움2,월세,27.4198,202603,"1,000",55,5,2021,부산광역시,기장군,기장읍,0,2671025000,2671025000000800007
부산광역시 사상구 주례동,60-25,0060,0025,양지파크,월세,29.29,202603,"1,000",50,2,2016,부산광역시,사상구,주례동,0,2653010600,2653010600000600025
부산광역시 연제구 연산동,1320-16,1320,0016,골든뷰,월세,19.32,202603,200,37,4,2012,부산광역시,연제구,연산동,0,2647010200,2647010200013200016
부산광역시 연제구 연산동,622-18,0622,0018,다이안빌,월세,17.075,202603,500,33,3,2013,부산광역시,연제구,연산동,0,2647010200,2647010200006220018
부산광역시 수영구 광안동,88-45,0088,0045,흑석푸른마을,월세,25.925,202603,"2,000",38,4,2012,부산광역시,수영구,광안동,0,2650010400,2650010400000880045
부산광역시 수영구 광안동,120-270,0120,0270,송원에이스,전세,16.2,202603,"4,000",0,4,2009,부산광역시,수영구,광안동,0,2650010400,2650010400001200270
부산광역시 수영구 광안동,186-13,0186,0013,명성빌라트,전세,18.99,202603,"6,500",0,5,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001860013
부산광역시 수영구 광안동,186-13,0186,0013,명성빌라트,전세,18.99,202603,"6,500",0,5,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001860013
부산광역시 사상구 주례동,74-46,0074,0046,동이빌,월세,16.5873,202603,"2,000",33,7,2018,부산광역시,사상구,주례동,0,2653010600,2653010600000740046
부산광역시 사상구 주례동,72-3,0072,0003,휴먼빌,월세,16.02,202603,100,33,7,2003,부산광역시,사상구,주례동,0,2653010600,2653010600000720003
부산광역시 금정구 장전동,385-41,0385,0041,마망빌,월세,13.17,202603,300,29,3,2015,부산광역시,금정구,장전동,0,2641010800,2641010800003850041
부산광역시 부산진구 부전동,408-3,0408,0003,스타원룸,월세,15.84,202603,500,31,6,2012,부산광역시,부산진구,부전동,0,2623010300,2623010300004080003
부산광역시 해운대구 재송동,1074-9,1074,0009,센텀스위트,월세,25.77,202603,500,40,5,2013,부산광역시,해운대구,재송동,0,2635010400,2635010400010740009
부산광역시 해운대구 재송동,1073-15,1073,0015,메트로폴리스15,월세,29.85,202603,"2,000",58,9,2019,부산광역시,해운대구,재송동,0,2635010400,2635010400010730015
부산광역시 금정구 남산동,20-23,0020,0023,청하빌,월세,29.95,202603,"1,000",40,5,2017,부산광역시,금정구,남산동,0,2641010400,2641010400000200023
부산광역시 서구 동대신동3가,95-3,0095,0003,메종드Ⅲ,월세,18.65,202603,"1,000",43,3,2018,부산광역시,서구,동대신동3가,0,2614010300,2614010300000950003
