시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세금(만원),층,건축년도,시도,구,법정동
부산광역시 수영구 광안동,102-18,102,18,명성타워빌,전세,22.86,202602,"10,000",0,3,2016,부산광역시,수영구,광안동
부산광역시 수영구 광안동,129-16,129,16,그랑스위트,월세,22.65,202602,"9,000",10,3,2017,부산광역시,수영구,광안동
부산광역시 수영구 남천동,17-12,17,12,그린빌리지,월세,19.58,202602,500,38,4,2013,부산광역시,수영구,남천동
부산광역시 연제구 연산동,621-3,621,3,러블리하우스,월세,16.26,202602,"1,000",40,4,2018,부산광역시,연제구,연산동
부산광역시 연제구 연산동,712-42,712,42,그린힐원룸,월세,15.8,202602,500,33,2,2002,부산광역시,연제구,연산동
부산광역시 수영구 광안동,155-6,155,6,트라움하우스13차,전세,16.55,202602,"7,000",0,4,2017,부산광역시,수영구,광안동
부산광역시 수영구 광안동,145-1,145,1,골든비치빌,월세,16.09,202602,400,37,3,2010,부산광역시,수영구,광안동
부산광역시 수영구 망미동,833-11,833,11,미라클수,월세,20.38,202602,"7,700",25,2,2021,부산광역시,수영구,망미동
부산광역시 수영구 광안동,120-62,120,62,영하우스,전세,22.26,202602,"9,000",0,4,2018,부산광역시,수영구,광안동
부산광역시 수영구 광안동,139-6,139,6,이화베스트빌,월세,20.55,202602,"5,000",11,4,2011,부산광역시,수영구,광안동
부산광역시 수영구 광안동,177-3,177,3,광안리즈빌,전세,19.53,202602,"5,000",0,1,2002,부산광역시,수영구,광안동
부산광역시 연제구 연산동,1255-30,1255,30,영남레미안,월세,17.23,202602,"1,000",38,2,2017,부산광역시,연제구,연산동
부산광역시 수영구 광안동,120-125,120,125,트리비앙,월세,14.13,202602,400,40,5,2017,부산광역시,수영구,광안동
부산광역시 수영구 광안동,90-60,90,60,남강하우스,월세,17.09,202602,500,27,3,2010,부산광역시,수영구,광안동
부산광역시 수영구 광안동,342,342,0,광안캐슬(342-0),월세,16.35,202602,"6,900",10,3,2012,부산광역시,수영구,광안동
부산광역시 남구 대연동,571-14,571,14,썬샤인에코시티7차,월세,12.66,202602,"1,000",43,4,2023,부산광역시,남구,대연동
부산광역시 부산진구 개금동,177-199,177,199,스마트웰,월세,15.11,202602,100,32,2,2012,부산광역시,부산진구,개금동
부산광역시 부산진구 개금동,540-222,540,222,태림빌,월세,15.12,202602,500,40,5,2012,부산광역시,부산진구,개금동
부산광역시 부산진구 개금동,616-5,616,5,해오름C동,월세,13.16,202602,"2,000",10,3,2012,부산광역시,부산진구,개금동
부산광역시 부산진구 개금동,177-227,177,227,리치빌Ⅱ,월세,14.14,202602,500,28,6,2012,부산광역시,부산진구,개금동
부산광역시 부산진구 개금동,177-192,177,192,하늘마루,월세,14.86,202602,500,30,4,2013,부산광역시,부산진구,개금동
부산광역시 부산진구 연지동,37-15,37,15,타임클래스,전세,22.53,202602,"11,000",0,4,2023,부산광역시,부산진구,연지동
부산광역시 부산진구 양정동,313-13,313,13,프라디움,월세,15.67,202602,500,33,2,2017,부산광역시,부산진구,양정동
부산광역시 금정구 장전동,29-3,29,3,드림밸리2,월세,29.2043,202602,"1,000",60,2,2015,부산광역시,금정구,장전동
부산광역시 금정구 장전동,28-7,28,7,에이플러스빌,월세,15.0,202602,500,28,2,2012,부산광역시,금정구,장전동
부산광역시 금정구 장전동,382-15,382,15,더휴,월세,14.335,202602,500,29,3,2012,부산광역시,금정구,장전동
부산광역시 금정구 장전동,152-25,152,25,제이원룸,월세,18.55,202602,500,31,4,2000,부산광역시,금정구,장전동
부산광역시 동구 초량동,90-12,90,12,하늘마루,월세,18.94,202602,500,40,4,2013,부산광역시,동구,초량동
부산광역시 금정구 남산동,130-8,130,8,대박하우스,월세,17.59,202602,500,35,3,2015,부산광역시,금정구,남산동
부산광역시 금정구 장전동,145-5,145,5,경원빌,월세,13.07,202602,200,25,1,2013,부산광역시,금정구,장전동
부산광역시 금정구 장전동,412-6,412,6,테라101,월세,16.79,202602,"4,000",9,2,2018,부산광역시,금정구,장전동
부산광역시 금정구 장전동,276-30,276,30,네버랜드111,월세,14.4,202602,500,38,2,2015,부산광역시,금정구,장전동
